Date,decile_rsi,decile_volume,decile_sma,decile_bop,decile_ao,decile_apo,decile_cmo,decile_price,decile_price_tomorrow
2020-06-19,10.0,6,12.0,3,12.0,13.0,10.0,6,6.0
2020-06-20,10.0,2,12.0,8,12.0,10.0,10.0,6,6.0
2020-06-21,10.0,5,12.0,17,12.0,7.0,10.0,6,7.0
2020-06-22,13.0,7,11.0,16,11.0,6.0,13.0,7,6.0
2020-06-23,11.0,5,11.0,0,11.0,6.0,11.0,6,6.0
2020-06-24,10.0,4,10.0,3,10.0,6.0,10.0,6,6.0
2020-06-25,10.0,8,10.0,10,10.0,6.0,10.0,6,5.0
2020-06-26,8.0,5,9.0,2,9.0,6.0,8.0,5,4.0
2020-06-27,5.0,4,8.0,2,8.0,6.0,5.0,4,5.0
2020-06-28,6.0,5,7.0,11,7.0,5.0,6.0,5,5.0
2020-06-29,7.0,5,7.0,12,7.0,5.0,7.0,5,5.0
2020-06-30,7.0,4,7.0,10,7.0,5.0,7.0,5,5.0
2020-07-01,7.0,4,6.0,9,6.0,6.0,7.0,5,6.0
2020-07-02,11.0,8,6.0,15,6.0,6.0,11.0,6,7.0
2020-07-03,14.0,7,7.0,18,7.0,6.0,14.0,7,7.0
2020-07-04,15.0,9,7.0,15,7.0,7.0,15.0,7,6.0
2020-07-05,13.0,7,8.0,1,8.0,8.0,13.0,6,6.0
2020-07-06,13.0,8,8.0,9,8.0,8.0,13.0,6,7.0
2020-07-07,13.0,7,9.0,10,9.0,8.0,13.0,7,6.0
2020-07-08,11.0,6,9.0,1,9.0,9.0,11.0,6,6.0
2020-07-09,9.0,5,9.0,2,9.0,9.0,9.0,6,6.0
2020-07-10,9.0,4,8.0,9,8.0,10.0,9.0,6,6.0
2020-07-11,10.0,3,9.0,12,9.0,11.0,10.0,6,6.0
2020-07-12,10.0,3,9.0,11,9.0,12.0,10.0,6,6.0
2020-07-13,10.0,7,10.0,10,10.0,12.0,10.0,6,6.0
2020-07-14,11.0,7,10.0,11,10.0,12.0,11.0,6,7.0
2020-07-15,14.0,8,11.0,19,11.0,12.0,14.0,7,6.0
2020-07-16,11.0,7,11.0,2,11.0,12.0,11.0,6,6.0
2020-07-17,9.0,3,11.0,1,11.0,11.0,9.0,6,6.0
2020-07-18,7.0,4,11.0,3,11.0,11.0,7.0,6,6.0
2020-07-19,8.0,3,10.0,13,10.0,11.0,8.0,6,6.0
2020-07-20,12.0,10,10.0,12,10.0,11.0,12.0,6,6.0
2020-07-21,10.0,7,10.0,3,10.0,11.0,10.0,6,6.0
2020-07-22,10.0,5,10.0,9,10.0,11.0,10.0,6,6.0
2020-07-23,9.0,4,11.0,6,11.0,10.0,9.0,6,6.0
2020-07-24,9.0,3,11.0,6,11.0,10.0,9.0,6,6.0
2020-07-25,8.0,3,10.0,6,10.0,9.0,8.0,6,5.0
2020-07-26,5.0,6,10.0,2,10.0,9.0,5.0,5,4.0
2020-07-27,1.0,6,9.0,1,9.0,8.0,1.0,4,5.0
2020-07-28,4.0,3,8.0,19,8.0,8.0,4.0,5,5.0
2020-07-29,8.0,6,8.0,16,8.0,8.0,8.0,5,5.0
2020-07-30,6.0,5,8.0,7,8.0,8.0,6.0,5,5.0
2020-07-31,5.0,3,7.0,2,7.0,8.0,5.0,5,5.0
2020-08-01,5.0,3,8.0,10,8.0,8.0,5.0,5,4.0
2020-08-02,2.0,5,8.0,0,8.0,8.0,2.0,4,5.0
2020-08-03,4.0,3,7.0,16,7.0,8.0,4.0,5,5.0
2020-08-04,3.0,3,7.0,7,7.0,7.0,3.0,5,5.0
2020-08-05,3.0,3,7.0,9,7.0,7.0,3.0,5,5.0
2020-08-06,3.0,3,7.0,9,7.0,7.0,3.0,5,5.0
2020-08-07,3.0,5,7.0,9,7.0,7.0,3.0,5,5.0
2020-08-08,8.0,4,7.0,16,7.0,7.0,8.0,5,5.0
2020-08-09,13.0,8,7.0,19,7.0,8.0,13.0,5,6.0
2020-08-10,14.0,7,8.0,11,8.0,8.0,14.0,6,5.0
2020-08-11,12.0,8,9.0,8,9.0,8.0,12.0,5,5.0
2020-08-12,11.0,5,10.0,7,10.0,8.0,11.0,5,5.0
2020-08-13,11.0,5,10.0,10,10.0,8.0,11.0,5,5.0
2020-08-14,12.0,6,10.0,12,10.0,9.0,12.0,5,5.0
2020-08-15,11.0,4,10.0,7,10.0,9.0,11.0,5,6.0
2020-08-16,13.0,4,10.0,18,10.0,10.0,13.0,6,6.0
2020-08-17,16.0,8,11.0,17,11.0,11.0,16.0,6,6.0
2020-08-18,16.0,7,11.0,10,11.0,12.0,16.0,6,5.0
2020-08-19,9.0,6,12.0,1,12.0,12.0,9.0,5,6.0
2020-08-20,12.0,6,12.0,15,12.0,13.0,12.0,6,5.0
2020-08-21,9.0,7,12.0,5,12.0,13.0,9.0,5,5.0
2020-08-22,10.0,6,11.0,10,11.0,12.0,10.0,5,5.0
2020-08-23,8.0,4,11.0,3,11.0,12.0,8.0,5,5.0
2020-08-24,11.0,6,10.0,18,10.0,12.0,11.0,5,5.0
2020-08-25,6.0,6,10.0,2,10.0,12.0,6.0,5,5.0
2020-08-26,8.0,4,10.0,15,10.0,12.0,8.0,5,4.0
2020-08-27,2.0,6,10.0,0,10.0,11.0,2.0,4,5.0
2020-08-28,6.0,5,9.0,17,9.0,11.0,6.0,5,5.0
2020-08-29,7.0,4,9.0,13,9.0,10.0,7.0,5,5.0
2020-08-30,10.0,4,9.0,19,9.0,9.0,10.0,5,5.0
2020-08-31,8.0,4,9.0,1,9.0,9.0,8.0,5,5.0
2020-09-01,7.0,4,9.0,7,9.0,9.0,7.0,5,4.0
2020-09-02,2.0,5,9.0,4,9.0,8.0,2.0,4,2.0
2020-09-03,0.0,5,8.0,0,8.0,7.0,0.0,2,3.0
2020-09-04,1.0,4,7.0,19,7.0,7.0,1.0,3,2.0
2020-09-05,0.0,3,6.0,5,6.0,6.0,0.0,2,2.0
2020-09-06,0.0,3,6.0,11,6.0,6.0,0.0,2,2.0
2020-09-07,0.0,3,6.0,7,6.0,6.0,0.0,2,0.0
2020-09-08,0.0,1,6.0,3,6.0,6.0,0.0,0,1.0
2020-09-09,0.0,1,6.0,14,6.0,6.0,0.0,1,3.0
2020-09-10,6.0,5,6.0,19,6.0,6.0,6.0,3,3.0
2020-09-11,4.0,2,6.0,4,6.0,6.0,4.0,3,3.0
2020-09-12,6.0,2,6.0,15,6.0,5.0,6.0,3,3.0
2020-09-13,3.0,1,6.0,2,6.0,5.0,3.0,3,3.0
2020-09-14,3.0,0,6.0,9,6.0,5.0,3.0,3,2.0
2020-09-15,2.0,1,6.0,1,6.0,6.0,2.0,2,1.0
2020-09-16,1.0,1,6.0,4,6.0,6.0,1.0,1,1.0
2020-09-17,2.0,0,6.0,16,6.0,6.0,2.0,1,1.0
2020-09-18,2.0,0,6.0,12,6.0,6.0,2.0,1,2.0
2020-09-19,3.0,0,6.0,14,6.0,6.0,3.0,2,1.0
2020-09-20,2.0,0,6.0,6,6.0,6.0,2.0,1,4.0
2020-09-21,13.0,7,7.0,15,7.0,7.0,13.0,4,3.0
2020-09-22,10.0,9,7.0,7,7.0,7.0,10.0,3,1.0
2020-09-23,3.0,4,7.0,0,7.0,7.0,3.0,1,2.0
2020-09-24,6.0,2,7.0,19,7.0,7.0,6.0,2,1.0
2020-09-25,6.0,1,7.0,9,7.0,8.0,6.0,1,2.0
2020-09-26,6.0,1,7.0,11,7.0,8.0,6.0,2,2.0
2020-09-27,7.0,1,7.0,10,7.0,9.0,7.0,2,2.0
2020-09-28,7.0,2,7.0,8,7.0,10.0,7.0,2,3.0
2020-09-29,9.0,2,8.0,17,8.0,10.0,9.0,3,3.0
2020-09-30,11.0,1,8.0,15,8.0,10.0,11.0,3,1.0
2020-10-01,6.0,2,9.0,1,9.0,10.0,6.0,1,1.0
2020-10-02,4.0,2,9.0,5,9.0,10.0,4.0,1,1.0
2020-10-03,6.0,0,9.0,16,9.0,9.0,6.0,1,1.0
2020-10-04,6.0,0,9.0,5,9.0,9.0,6.0,1,2.0
2020-10-05,8.0,0,9.0,18,9.0,9.0,8.0,2,1.0
2020-10-06,5.0,6,9.0,6,9.0,9.0,5.0,1,2.0
2020-10-07,9.0,7,10.0,13,10.0,9.0,9.0,2,3.0
2020-10-08,12.0,8,11.0,12,11.0,10.0,12.0,3,3.0
2020-10-09,14.0,6,11.0,12,11.0,10.0,14.0,3,3.0
2020-10-10,13.0,3,12.0,6,12.0,10.0,13.0,3,3.0
